probability,volatility,vol.
0.35963964,1.570876,volatility(acceleration: longitudinal direction)
0.25076848,1.09508,volatility(acceleration: longitudinal direction)
0.33723727,1.480144,volatility(acceleration: longitudinal direction)
0.1529634,0.5278753,volatility(acceleration: longitudinal direction)
0.18981157,0.7671665,volatility(acceleration: longitudinal direction)
0.23390381,1.010619,volatility(acceleration: longitudinal direction)
0.2271979,0.97586781,volatility(acceleration: longitudinal direction)
0.23684205,1.025627,volatility(acceleration: longitudinal direction)
0.15309757,0.52882689,volatility(acceleration: longitudinal direction)
0.20050371,0.82975459,volatility(acceleration: longitudinal direction)
0.42673659,1.8298759,volatility(acceleration: longitudinal direction)
0.38399681,1.666764,volatility(acceleration: longitudinal direction)
0.14597507,0.4773353,volatility(acceleration: longitudinal direction)
0.24272154,1.0552779,volatility(acceleration: longitudinal direction)
0.20930424,0.87941712,volatility(acceleration: longitudinal direction)
0.22577725,0.96841341,volatility(acceleration: longitudinal direction)
0.13950808,0.42874619,volatility(acceleration: longitudinal direction)
0.75965065,3.159065,volatility(acceleration: longitudinal direction)
0.26468259,1.161953,volatility(acceleration: longitudinal direction)
0.18373406,0.73038179,volatility(acceleration: longitudinal direction)
0.31460956,1.385437,volatility(acceleration: longitudinal direction)
0.20087625,0.83188951,volatility(acceleration: longitudinal direction)
0.16099724,0.583691,volatility(acceleration: longitudinal direction)
0.2815809,1.240216,volatility(acceleration: longitudinal direction)
0.48596141,2.0495861,volatility(acceleration: longitudinal direction)
0.1502569,0.50853199,volatility(acceleration: longitudinal direction)
0.23545296,1.018548,volatility(acceleration: longitudinal direction)
0.21094219,0.88848913,volatility(acceleration: longitudinal direction)
0.24335618,1.058449,volatility(acceleration: longitudinal direction)
0.19443333,0.79454029,volatility(acceleration: longitudinal direction)
0.2237594,0.95776808,volatility(acceleration: longitudinal direction)
0.19919227,0.82221568,volatility(acceleration: longitudinal direction)
0.18100606,0.71356368,volatility(acceleration: longitudinal direction)
0.24967498,1.089722,volatility(acceleration: longitudinal direction)
0.15378867,0.53371757,volatility(acceleration: longitudinal direction)
0.1856647,0.74216747,volatility(acceleration: longitudinal direction)
0.16825902,0.63223702,volatility(acceleration: longitudinal direction)
0.25770929,1.128733,volatility(acceleration: longitudinal direction)
0.207489,0.86930192,volatility(acceleration: longitudinal direction)
0.24076104,1.045446,volatility(acceleration: longitudinal direction)
0.2280501,0.98032361,volatility(acceleration: longitudinal direction)
0.20498836,0.8552599,volatility(acceleration: longitudinal direction)
0.24782161,1.080605,volatility(acceleration: longitudinal direction)
0.16117631,0.58490908,volatility(acceleration: longitudinal direction)
0.18071921,0.71178383,volatility(acceleration: longitudinal direction)
0.21902756,0.9325335,volatility(acceleration: longitudinal direction)
0.19942778,0.82357228,volatility(acceleration: longitudinal direction)
0.17722744,0.68993908,volatility(acceleration: longitudinal direction)
0.24852754,1.084083,volatility(acceleration: longitudinal direction)
0.1747202,0.67404449,volatility(acceleration: longitudinal direction)
0.17405085,0.6697709,volatility(acceleration: longitudinal direction)
0.52817082,2.2049141,volatility(acceleration: longitudinal direction)
0.20282225,0.8429932,volatility(acceleration: longitudinal direction)
0.33281076,1.461879,volatility(acceleration: longitudinal direction)
0.20365988,0.84774822,volatility(acceleration: longitudinal direction)
0.23140138,0.99773359,volatility(acceleration: longitudinal direction)
0.22596961,0.96942472,volatility(acceleration: longitudinal direction)
0.24429706,1.06314,volatility(acceleration: longitudinal direction)
0.17482053,0.67468399,volatility(acceleration: longitudinal direction)
0.15089148,0.51309288,volatility(acceleration: longitudinal direction)
0.18072556,0.71182323,volatility(acceleration: longitudinal direction)
0.27948713,1.23068,volatility(acceleration: longitudinal direction)
0.18767995,0.7543692,volatility(acceleration: longitudinal direction)
0.2077709,0.87087703,volatility(acceleration: longitudinal direction)
0.23713161,1.027099,volatility(acceleration: longitudinal direction)
0.29659954,1.307404,volatility(acceleration: longitudinal direction)
0.20530912,0.85706812,volatility(acceleration: longitudinal direction)
0.16890365,0.63646477,volatility(acceleration: longitudinal direction)
0.15742584,0.55916488,volatility(acceleration: longitudinal direction)
0.26765326,1.175934,volatility(acceleration: longitudinal direction)
0.16020094,0.5782609,volatility(acceleration: longitudinal direction)
0.2838544,1.250522,volatility(acceleration: longitudinal direction)
0.24918029,1.087293,volatility(acceleration: longitudinal direction)
0.14802858,0.49238989,volatility(acceleration: longitudinal direction)
0.18154866,0.71692443,volatility(acceleration: longitudinal direction)
0.27588195,1.214157,volatility(acceleration: longitudinal direction)
0.22205676,0.94873238,volatility(acceleration: longitudinal direction)
0.17664036,0.68623322,volatility(acceleration: longitudinal direction)
0.19674133,0.80802548,volatility(acceleration: longitudinal direction)
0.155553,0.54612219,volatility(acceleration: longitudinal direction)
0.18674231,0.74870467,volatility(acceleration: longitudinal direction)
0.21114351,0.88960057,volatility(acceleration: longitudinal direction)
0.21104155,0.88903779,volatility(acceleration: longitudinal direction)
0.21145894,0.89134049,volatility(acceleration: longitudinal direction)
0.22673078,0.97342038,volatility(acceleration: longitudinal direction)
0.21754742,0.92455971,volatility(acceleration: longitudinal direction)
0.23178379,0.99970901,volatility(acceleration: longitudinal direction)
0.14006902,0.43303439,volatility(acceleration: longitudinal direction)
0.19578163,0.80243278,volatility(acceleration: longitudinal direction)
0.16659138,0.62123942,volatility(acceleration: longitudinal direction)
0.27335742,1.202507,volatility(acceleration: longitudinal direction)
0.2844142,1.253052,volatility(acceleration: longitudinal direction)
0.17949694,0.70417511,volatility(acceleration: longitudinal direction)
0.18041779,0.70991123,volatility(acceleration: longitudinal direction)
0.20469387,0.85359788,volatility(acceleration: longitudinal direction)
0.28287247,1.2460769,volatility(acceleration: longitudinal direction)
0.19730967,0.81132782,volatility(acceleration: longitudinal direction)
0.16472477,0.60882467,volatility(acceleration: longitudinal direction)
0.31936187,1.405615,volatility(acceleration: longitudinal direction)
0.24109307,1.047115,volatility(acceleration: longitudinal direction)
0.16895856,0.63682431,volatility(acceleration: longitudinal direction)
0.25211492,1.101656,volatility(acceleration: longitudinal direction)
0.15321808,0.52968091,volatility(acceleration: longitudinal direction)
0.15037024,0.5093478,volatility(acceleration: longitudinal direction)
0.16584499,0.61628872,volatility(acceleration: longitudinal direction)
0.15064591,0.51132983,volatility(acceleration: longitudinal direction)
0.15719114,0.55753738,volatility(acceleration: longitudinal direction)
0.23138833,0.99766612,volatility(acceleration: longitudinal direction)
0.17115428,0.65112561,volatility(acceleration: longitudinal direction)
0.22919852,0.98630983,volatility(acceleration: longitudinal direction)
0.18643244,0.7468279,volatility(acceleration: longitudinal direction)
0.17107968,0.65064222,volatility(acceleration: longitudinal direction)
0.20809054,0.87266111,volatility(acceleration: longitudinal direction)
0.19187061,0.77942389,volatility(acceleration: longitudinal direction)
0.20163138,0.83620769,volatility(acceleration: longitudinal direction)
0.20147727,0.83532739,volatility(acceleration: longitudinal direction)
0.20347431,0.84669602,volatility(acceleration: longitudinal direction)
0.21759915,0.92483908,volatility(acceleration: longitudinal direction)
0.18033631,0.70940459,volatility(acceleration: longitudinal direction)
0.21766043,0.92516989,volatility(acceleration: longitudinal direction)
0.26241076,1.151193,volatility(acceleration: longitudinal direction)
0.36911687,1.608493,volatility(acceleration: longitudinal direction)
0.14829186,0.49430749,volatility(acceleration: longitudinal direction)
0.30117393,1.327471,volatility(acceleration: longitudinal direction)
0.20957571,0.88092428,volatility(acceleration: longitudinal direction)
0.16010512,0.57760608,volatility(acceleration: longitudinal direction)
0.20470792,0.85367721,volatility(acceleration: longitudinal direction)
0.21677768,0.92039752,volatility(acceleration: longitudinal direction)
0.2340239,1.011235,volatility(acceleration: longitudinal direction)
0.20689267,0.86596471,volatility(acceleration: longitudinal direction)
0.20739989,0.86880368,volatility(acceleration: longitudinal direction)
0.17402427,0.6696009,volatility(acceleration: longitudinal direction)
0.28732121,1.266142,volatility(acceleration: longitudinal direction)
0.17061444,0.64762312,volatility(acceleration: longitudinal direction)
0.26242426,1.151257,volatility(acceleration: longitudinal direction)
0.18981153,0.7671662,volatility(acceleration: longitudinal direction)
0.26434779,1.1603709,volatility(acceleration: longitudinal direction)
0.14459184,0.4670954,volatility(acceleration: longitudinal direction)
0.20305984,0.84434342,volatility(acceleration: longitudinal direction)
0.18690941,0.74971581,volatility(acceleration: longitudinal direction)
0.20261294,0.84180272,volatility(acceleration: longitudinal direction)
0.13311101,0.37878871,volatility(acceleration: longitudinal direction)
0.13939534,0.42788261,volatility(acceleration: longitudinal direction)
0.16382982,0.60283238,volatility(acceleration: longitudinal direction)
0.31156465,1.372422,volatility(acceleration: longitudinal direction)
0.16671436,0.62205338,volatility(acceleration: longitudinal direction)
0.16899925,0.6370908,volatility(acceleration: longitudinal direction)
0.22358376,0.95683819,volatility(acceleration: longitudinal direction)
0.18933156,0.76429433,volatility(acceleration: longitudinal direction)
0.54445952,2.265131,volatility(acceleration: longitudinal direction)
