probability,volatility,vol.
1,4.1408982,volatility (positive vehicular jerk : longitudinal direction)
0.99996203,2.9318299,volatility (positive vehicular jerk : longitudinal direction)
0.99993092,2.8430469,volatility (positive vehicular jerk : longitudinal direction)
0.98269802,2.0205801,volatility (positive vehicular jerk : longitudinal direction)
1,4.397439,volatility (positive vehicular jerk : longitudinal direction)
0.99998438,3.064009,volatility (positive vehicular jerk : longitudinal direction)
1,4.0860491,volatility (positive vehicular jerk : longitudinal direction)
1,4.215003,volatility (positive vehicular jerk : longitudinal direction)
0.89479339,1.738703,volatility (positive vehicular jerk : longitudinal direction)
0.099360228,1.093689,volatility (positive vehicular jerk : longitudinal direction)
0.8882364,1.728636,volatility (positive vehicular jerk : longitudinal direction)
0.99997312,2.983134,volatility (positive vehicular jerk : longitudinal direction)
0.1417954,1.1536469,volatility (positive vehicular jerk : longitudinal direction)
1,5.8785868,volatility (positive vehicular jerk : longitudinal direction)
0.99999744,3.331567,volatility (positive vehicular jerk : longitudinal direction)
1,6.190413,volatility (positive vehicular jerk : longitudinal direction)
0.84579724,1.6735851,volatility (positive vehicular jerk : longitudinal direction)
0.9874202,2.0686071,volatility (positive vehicular jerk : longitudinal direction)
0.9998669,2.7456939,volatility (positive vehicular jerk : longitudinal direction)
0.67800933,1.531464,volatility (positive vehicular jerk : longitudinal direction)
0.93762672,1.823252,volatility (positive vehicular jerk : longitudinal direction)
0.99999273,3.17716,volatility (positive vehicular jerk : longitudinal direction)
1,4.3259988,volatility (positive vehicular jerk : longitudinal direction)
0.86111134,1.691776,volatility (positive vehicular jerk : longitudinal direction)
1,4.2483468,volatility (positive vehicular jerk : longitudinal direction)
0.64984381,1.512717,volatility (positive vehicular jerk : longitudinal direction)
0.21681345,1.230265,volatility (positive vehicular jerk : longitudinal direction)
0.92647517,1.797058,volatility (positive vehicular jerk : longitudinal direction)
0.9997586,2.657346,volatility (positive vehicular jerk : longitudinal direction)
0.99999285,3.179481,volatility (positive vehicular jerk : longitudinal direction)
0.62572479,1.497214,volatility (positive vehicular jerk : longitudinal direction)
0.99700785,2.2832279,volatility (positive vehicular jerk : longitudinal direction)
0.87768143,1.713465,volatility (positive vehicular jerk : longitudinal direction)
0.99999297,3.1819501,volatility (positive vehicular jerk : longitudinal direction)
0.92828566,1.801049,volatility (positive vehicular jerk : longitudinal direction)
0.10905224,1.109112,volatility (positive vehicular jerk : longitudinal direction)
0.42818385,1.377982,volatility (positive vehicular jerk : longitudinal direction)
0.99998891,3.114346,volatility (positive vehicular jerk : longitudinal direction)
1,4.9161181,volatility (positive vehicular jerk : longitudinal direction)
0.9999789,3.0192089,volatility (positive vehicular jerk : longitudinal direction)
0.9999994,3.5558629,volatility (positive vehicular jerk : longitudinal direction)
0.9999243,2.829551,volatility (positive vehicular jerk : longitudinal direction)
0.21273176,1.2266721,volatility (positive vehicular jerk : longitudinal direction)
0.75497192,1.587974,volatility (positive vehicular jerk : longitudinal direction)
0.99997193,2.9768879,volatility (positive vehicular jerk : longitudinal direction)
0.78523254,1.613376,volatility (positive vehicular jerk : longitudinal direction)
0.47172233,1.404114,volatility (positive vehicular jerk : longitudinal direction)
1,3.997792,volatility (positive vehicular jerk : longitudinal direction)
0.16955066,1.185065,volatility (positive vehicular jerk : longitudinal direction)
0.97182506,1.946543,volatility (positive vehicular jerk : longitudinal direction)
0.78704232,1.614974,volatility (positive vehicular jerk : longitudinal direction)
1,4.6584358,volatility (positive vehicular jerk : longitudinal direction)
1,4.9847212,volatility (positive vehicular jerk : longitudinal direction)
0.84441185,1.672014,volatility (positive vehicular jerk : longitudinal direction)
0.97091943,1.941708,volatility (positive vehicular jerk : longitudinal direction)
0.79936635,1.62613,volatility (positive vehicular jerk : longitudinal direction)
1,5.0306501,volatility (positive vehicular jerk : longitudinal direction)
0.99996853,2.9598219,volatility (positive vehicular jerk : longitudinal direction)
0.99999994,3.9662089,volatility (positive vehicular jerk : longitudinal direction)
0.99999994,3.9208829,volatility (positive vehicular jerk : longitudinal direction)
0.99999374,3.200228,volatility (positive vehicular jerk : longitudinal direction)
0.82742786,1.653618,volatility (positive vehicular jerk : longitudinal direction)
0.14459468,1.157034,volatility (positive vehicular jerk : longitudinal direction)
0.36002201,1.335525,volatility (positive vehicular jerk : longitudinal direction)
0.12053255,1.125896,volatility (positive vehicular jerk : longitudinal direction)
0.50073737,1.421361,volatility (positive vehicular jerk : longitudinal direction)
0.85924721,1.6894751,volatility (positive vehicular jerk : longitudinal direction)
0.12521997,1.1323529,volatility (positive vehicular jerk : longitudinal direction)
0.043569837,0.96238738,volatility (positive vehicular jerk : longitudinal direction)
0.36859092,1.341018,volatility (positive vehicular jerk : longitudinal direction)
0.94670993,1.848047,volatility (positive vehicular jerk : longitudinal direction)
0.99877352,2.4158831,volatility (positive vehicular jerk : longitudinal direction)
0.33257174,1.317517,volatility (positive vehicular jerk : longitudinal direction)
0.38301978,1.35015,volatility (positive vehicular jerk : longitudinal direction)
0.9963603,2.254051,volatility (positive vehicular jerk : longitudinal direction)
0.11144017,1.112726,volatility (positive vehicular jerk : longitudinal direction)
0.56454706,1.459466,volatility (positive vehicular jerk : longitudinal direction)
0.34461686,1.325502,volatility (positive vehicular jerk : longitudinal direction)
0.74244958,1.578092,volatility (positive vehicular jerk : longitudinal direction)
0.12301795,1.129346,volatility (positive vehicular jerk : longitudinal direction)
0.99589598,2.2361579,volatility (positive vehicular jerk : longitudinal direction)
0.11555874,1.118803,volatility (positive vehicular jerk : longitudinal direction)
0.94379658,1.8396879,volatility (positive vehicular jerk : longitudinal direction)
0.8712908,1.70482,volatility (positive vehicular jerk : longitudinal direction)
0.13325952,1.142961,volatility (positive vehicular jerk : longitudinal direction)
0.05701125,1.0044039,volatility (positive vehicular jerk : longitudinal direction)
0.62240922,1.495116,volatility (positive vehicular jerk : longitudinal direction)
0.63797307,1.505031,volatility (positive vehicular jerk : longitudinal direction)
0.96554244,1.9156981,volatility (positive vehicular jerk : longitudinal direction)
0.99997544,2.9967439,volatility (positive vehicular jerk : longitudinal direction)
0.99990785,2.8003471,volatility (positive vehicular jerk : longitudinal direction)
0.12760793,1.135563,volatility (positive vehicular jerk : longitudinal direction)
