eventtype,Acceleration:longitudinal direction,Deceleration:longitudinal direction,Acceleration:lateral direction,Deceleration:lateral direction,Postive jerk:longitudinal direction,Negative jerk :longitudinal direction,Postive jerk:lateral direction,Negative jerk :lateral direction
1,1.570876,1.947571,4.6929302,1.474977,4.1408982,3.9994769,3.0145791,1.32547
1,,,,,,,,
1,1.09508,1.708681,2.0799241,0.80053759,2.9318299,2.1361389,1.4862061,1.661754
1,1.480144,2.0942781,0.58013707,0.4769305,2.8430469,3.050365,3.3058119,2.6706369
1,0.5278753,2.110965,0.93722868,0.70161551,2.0205801,2.49633,1.004373,0.80625337
1,0.7671665,2.4605751,1.253173,1.320462,4.397439,4.0210919,2.2012081,2.4916539
1,1.010619,1.059224,0.63481832,0.82362783,3.064009,2.9679329,2.152575,1.472357
1,0.97586781,1.311205,1.750288,1.46866,4.0860491,4.167418,1.657653,1.6195509
1,1.025627,4.2522378,1.7228431,2.8368211,4.215003,5.2703471,2.529856,2.3324809
1,0.52882689,1.199962,0.77453262,1.384683,1.738703,2.0180459,2.1358371,1.853547
1,0.82975459,0.87018228,0.93074292,1.82151,1.093689,0.94166207,1.51703,1.528577
1,1.8298759,0.96504623,1.886976,1.859429,1.728636,1.461123,1.875429,2.082377
1,1.666764,1.402326,1.02447,1.27535,2.983134,3.071269,2.0100789,2.453258
1,0.4773353,0.86699611,1.342052,0.87783277,1.1536469,0.94168413,1.708444,1.506246
1,1.0552779,3.247534,1.6610661,3.0187449,5.8785868,6.592628,3.6703601,2.8854051
1,,,,,,,,
1,0.87941712,1.9192491,0.64500791,1.151852,3.331567,2.636575,1.360723,1.493084
1,0.96841341,5.619359,5.9199352,1.409115,6.190413,5.023592,6.1687312,5.896523
1,0.42874619,0.51601559,2.78123,1.361406,1.6735851,0.96394873,2.4082811,0.87266171
1,3.159065,0.85992968,1.744424,1.731676,2.0686071,1.612273,2.1858661,1.14186
1,1.161953,1.332005,0.6418882,0.99403071,2.7456939,3.0117519,1.21126,0.97788131
1,0.73038179,0.90793478,0.73284328,0.76832741,1.531464,1.913561,1.298941,1.155551
1,1.385437,1.076297,1.635119,1.764761,1.823252,1.9993581,2.2220409,1.396845
1,0.83188951,2.1891911,0.91553003,1.8737479,3.17716,3.209156,3.956032,2.794492
1,0.583691,2.5139661,0.64921379,0.71090043,4.3259988,4.5537601,1.535208,1.900949
1,1.240216,1.748929,1.0732729,0.5107137,1.691776,2.0959611,0.99773449,0.90875471
1,2.0495861,0.96976012,1.325907,1.339476,4.2483468,2.9521661,1.979535,1.101405
1,0.50853199,0.85728818,1.801587,1.333963,1.512717,1.422122,1.644684,1.706607
1,1.018548,2.057801,0.78288251,1.2638431,1.230265,0.95843989,0.94945258,0.87701279
1,0.88848913,1.2975709,0.90246898,0.89807057,1.797058,1.199368,1.41804,0.7922622
1,1.058449,1.5351059,2.6584671,1.498649,2.657346,2.4064081,2.1915619,1.6123559
1,0.79454029,1.839311,2.391772,0.92469817,3.179481,2.2682531,2.063426,1.28426
1,0.95776808,1.341383,1.2303261,0.57686222,1.497214,0.96317607,0.91706491,0.70338279
1,0.82221568,1.7459641,1.2865289,0.73812658,2.2832279,1.968942,1.564834,0.92731678
1,0.71356368,1.6486239,0.89349753,0.78998941,1.713465,1.772038,1.10805,0.83860582
1,,,,,,,,
1,1.089722,1.491312,0.76862228,0.78812718,3.1819501,1.897236,0.99758571,0.77818012
1,0.53371757,0.76218748,1.021831,0.6376307,1.801049,2.118737,1.074034,1.117442
1,0.74216747,1.114768,1.266358,0.67013907,1.109112,1.0661139,1.0265501,0.73377061
1,0.63223702,1.614491,0.70832932,0.65469313,1.377982,1.621706,0.96855462,0.79307222
1,1.128733,1.695922,1.109358,0.39957619,3.114346,2.878258,0.99147648,0.80032492
1,0.86930192,2.278244,1.093104,1.066066,4.9161181,6.2846789,3.090106,2.5570509
1,1.045446,1.233849,0.79913318,0.7586394,3.0192089,2.350152,1.411173,1.451866
1,0.98032361,2.471704,1.7621779,0.70619941,3.5558629,2.868489,1.092289,1.375284
1,0.8552599,1.6093121,0.51963133,0.34641021,2.829551,2.152431,0.95882982,0.73782021
1,1.080605,1.863111,0.91843331,0.66443002,1.2266721,1.259941,1.033471,0.75758189
1,0.58490908,1.403777,1.304768,1.131096,1.587974,1.510429,1.1353461,1.026109
1,0.71178383,1.475311,1.628682,0.62553358,2.9768879,1.594556,1.648412,1.093044
1,0.9325335,1.0452991,1.3843859,0.51425278,1.613376,1.8407201,1.052428,0.89785773
1,0.82357228,0.93537968,1.181868,0.56847322,1.404114,1.422541,1.024272,0.81910521
1,0.68993908,2.8675189,0.94825119,0.73543239,3.997792,2.2538359,1.814133,1.330117
1,1.084083,1.440941,0.87288922,0.61915708,1.185065,0.94383079,1.110919,0.71300638
1,0.67404449,1.83359,1.3252701,1.099077,1.946543,1.620562,1.194422,0.89196903
1,0.6697709,1.924678,1.546165,0.39574841,1.614974,1.177601,1.288939,0.9811691
1,2.2049141,2.4824319,1.767278,0.76705468,4.6584358,2.463871,2.068162,1.985447
1,0.8429932,2.874907,1.408729,1.120949,4.9847212,4.0452328,2.415231,2.4202001
1,1.461879,0.93856591,1.1217459,0.85646212,1.672014,1.680894,1.0182461,0.82880372
1,0.84774822,1.1347719,1.476563,1.325897,1.941708,1.966521,1.246978,1.097554
1,0.99773359,1.5594881,1.136453,0.75031292,1.62613,1.8394279,1.237689,1.057984
1,0.96942472,1.564016,1.670549,1.4166369,5.0306501,3.6767499,2.5936,1.4471411
1,1.06314,1.529177,0.79869449,0.98044002,2.9598219,3.0951321,1.0793411,0.91191888
1,0.67468399,1.653082,0.78168809,0.91699612,3.9662089,3.6914501,1.7141041,1.471488
1,0.50468391,0.8504045,0.48143709,,3.9208829,2.6584959,1.042679,0.8233912
1,0.51309288,1.01674,1.240528,1.057393,3.200228,2.3471799,2.386277,1.28804
1,0.71182323,0.9194116,2.025692,0.7658357,1.653618,1.109035,1.205536,0.95751202
1,1.23068,1.816324,1.033867,1.160182,1.157034,1.016246,1.0315681,1.019437
1,0.7543692,1.379199,2.1367121,1.133269,1.335525,1.450689,1.4239399,1.429844
1,,,,,,,,
1,0.87087703,1.787967,1.279496,1.503581,1.125896,1.380664,0.9061318,1.052909
1,1.027099,0.78002161,0.67095119,0.81670111,1.421361,1.2436889,0.93638939,0.75366408
1,1.307404,1.3279949,0.42412359,0.69627428,1.6894751,1.095595,0.90138048,0.66666669
1,0.85706812,1.15528,1.148928,0.70422292,1.1323529,0.79256213,1.105018,0.72584099
1,,1.217769,0.95416868,0.7378087,0.96238738,1.538169,0.94996172,0.78044772
1,0.63646477,1.4453191,1.142664,0.65357429,1.341018,1.550468,1.056398,1.050143
1,0.55916488,1.099583,0.94137299,1.073265,1.848047,0.94073379,0.82567441,0.92308968
1,1.175934,1.190547,1.618205,1.584466,2.4158831,1.540175,2.245929,1.464761
1,0.5782609,1.24237,0.63423902,0.69385648,1.317517,1.482123,1.04617,0.85573971
1,1.250522,1.330103,0.40043861,0.59649712,1.35015,0.99507028,1.080809,0.94191968
1,1.087293,0.78023171,1.717793,0.59845662,2.254051,2.524364,2.3501561,1.47721
1,0.49238989,1.0216351,0.95808721,1.05476,1.112726,1.189651,1.04309,0.9763146
1,0.71692443,1.264326,1.006058,0.93273622,1.459466,1.061044,1.002405,1.1509759
1,1.214157,1.957311,1.110065,1.27633,1.325502,1.155472,0.91115981,0.90080959
1,0.94873238,1.081407,1.30545,0.62899423,1.578092,1.31777,0.98699957,0.853917
1,0.68623322,1.432274,1.559665,0.91237718,1.129346,1.2848099,1.150498,1.137787
1,0.80802548,1.1374739,0.93283713,0.47710249,2.2361579,1.2884229,1.0579129,0.86151898
1,0.54612219,0.96636498,0.81838429,0.5210526,1.118803,1.0602829,1.088094,1.104882
1,0.74870467,1.85813,1.4347301,0.76300162,1.8396879,2.2206089,1.255499,0.85778689
1,0.88960057,1.1289279,1.02448,0.84780568,1.70482,1.059966,1.092855,0.84229523
1,0.88903779,0.96470863,0.95055091,0.58084673,1.142961,1.3255661,1.106784,0.90892428
1,0.89134049,1.063452,0.67737341,0.81434768,1.0044039,0.92154193,0.85278291,0.84482032
1,0.97342038,1.252073,1.119089,0.75730813,1.495116,1.455186,1.508042,1.367789
1,0.93818969,1.309294,0.2591148,,1.505031,1.604771,1.002032,0.77258611
1,0.92455971,1.6334341,0.9130488,0.75123471,1.9156981,1.392783,0.95222068,0.7977376
1,0.99970901,1.631343,0.8661499,0.82178342,2.9967439,1.298473,0.91129422,0.74941927
1,0.43303439,1.813077,1.635334,0.4383778,2.8003471,2.168628,1.689878,0.84028709
1,0.80243278,1.178566,0.84942251,0.82459903,1.135563,0.93659621,0.99056971,0.76665968
1,0.62123942,1.147387,0.69815969,0.75106132,1.856624,1.0308321,0.80421621,0.89045918
1,1.202507,1.829543,0.37030059,0.46481109,1.945833,1.618102,1.038857,0.69672239
1,1.253052,1.312817,0.72798991,0.93898702,1.644003,1.405064,1.02279,0.67518502
1,0.70417511,1.7095079,1.332291,0.53075367,1.335996,1.490782,1.0028861,0.68923718
1,0.70991123,0.81026292,1.151549,0.49704301,1.634739,2.0064459,0.9158147,0.7030735
1,0.85359788,1.345469,0.58899868,0.80434197,1.259024,1.724805,1.266552,0.87722409
1,1.2460769,1.254228,0.43871969,0.63451898,1.144395,0.9023304,0.98192561,0.8604604
1,0.81132782,1.754047,1.072481,0.79220653,1.569445,1.328058,1.247239,0.98314011
1,0.60882467,1.689198,1.185501,0.88068253,2.629962,1.117566,0.93709183,0.74334222
1,0.7619189,1.11976,0.3293575,,1.661956,2.143981,1.0210249,0.6784305
1,1.405615,1.584071,0.85010928,0.56403148,1.090132,1.455454,0.88794541,0.76862347
1,1.047115,1.282383,1.161322,0.80551219,1.464712,1.658885,1.0410039,0.78519797
1,0.63682431,1.1843081,1.145851,0.78762847,1.2336,1.714257,1.159465,0.78745079
1,1.101656,1.112861,0.60518903,0.68866241,1.037763,1.168041,1.03769,0.81813711
1,0.52968091,0.98057193,1.413273,0.68365371,0.88642538,0.86159211,1.117521,0.78883767
1,0.5093478,1.969703,0.95456052,1.150051,1.5554039,1.866789,1.542258,1.544337
1,0.61628872,1.329491,1.1776119,0.65233171,0.99091607,1.3175761,0.9271785,0.89102149
1,0.51132983,1.4720351,0.99197823,0.77311671,1.70655,1.1864721,1.0992121,0.84613502
