NAME,crshcnt00,crshcnt01,crshcnt02,crshcnt03,crshcnt04,crshcnt05,crshcnt06,crshcnt07,crshcnt08,crshcnt09,crshcnt10,crshcnt11,crshcnt12,crshcnt13,crshcnt14,crshcnt15,crshcnt16,crshcnt00ad,crshcnt01ad,crshcnt02ad,crshcnt03ad,crshcnt04ad,crshcnt05ad,crshcnt06ad,crshcnt07ad,crshcnt08ad,crshcnt09ad,crshcnt10ad,crshcnt11ad,crshcnt12ad,crshcnt13ad,crshcnt14ad,crshcnt15ad,crshcnt16ad,pop00,pop01,pop02,pop03,pop04,pop05,pop06,pop07,pop08,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,diff0001,diff0102,diff0203,diff0304,diff0405,diff0506,diff0607,diff0708,diff0809,diff0910,diff1011,diff1112,diff1213,diff1314,diff1415,diff1516,crshcnt00per,crshcnt01per,crshcnt02per,crshcnt03per,crshcnt04per,crshcnt05per,crshcnt06per,crshcnt07per,crshcnt08per,crshcnt09per,crshcnt10per,crshcnt11per,crshcnt12per,crshcnt13per,crshcnt14per,crshcnt15per,crshcnt16per,per0001,per0102,per0203,per0304,per0405,per0506,per0607,per0708,per0809,per0910,per1011,per1112,per1213,per1314,per1415,per1516,pop0001,pop0102,pop0203,pop0304,pop0405,pop0506,pop0607,pop0708,pop0809,pop0910,pop1011,pop1112,pop1213,pop1314,pop1415,pop1516,crshavg0206,crshavg0711,crshavg1216,avg0211,avg0716,avg0211per,avg0716per
Alabama,62,68,61,62,81,72,78,69,68,64,61,79,77,59,96,98,111,129,135,128,129,148,139,145,136,135,131,128,146,144,126,163,165,178,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4785492,4799918,4815960,4829479,4843214,4853875,4863300,6,-7,1,19,-9,6,-9,-1,-4,-3,18,-2,-18,37,2,13,13.92679761,15.23285889,13.63914838,13.80664594,17.95137173,15.84141337,16.96504852,14.87741014,14.53779227,13.59183878,12.74686072,16.4586145,15.98850489,12.21663869,19.82154825,20.19005434,22.82400839,0.046511628,-0.051851852,0.0078125,0.147286822,-0.060810811,0.043165468,-0.062068966,-0.007352941,-0.02962963,-0.022900763,0.140625,-0.01369863,-0.125,0.293650794,0.012269939,0.078787879,1.347754607,-1.568088415,0.223592596,4.231068917,-1.994596859,1.320117781,-1.957505598,-0.21561464,-0.855164251,-0.637117443,3.761368737,-0.416673785,-3.737572571,7.66128189,0.412041925,2.673082064,15.64072559,14.44250328,18.20815091,-1.198222305,3.765647628,-0.072005412,0.24384956
Alaska,9,7,15,9,10,7,9,13,3,8,6,9,8,5,14,11,12,37,35,43,37,38,35,37,41,31,36,34,37,36,33,42,39,40,620457,626228,635529,643598,654123,662033,669861,674714,680471,690742,706567,715056,723297,728929,728642,729600,733845,-2,8,-6,1,-3,2,4,-10,5,-2,3,-1,-3,9,-3,1,14.50543712,11.17803739,23.60238478,13.98388435,15.28764468,10.57349105,13.43562321,19.26742294,4.408711025,11.58174832,8.491763697,12.5864268,11.06046341,6.859378623,19.21382517,15.07675439,16.35222697,-0.054054054,0.228571429,-0.139534884,0.027027027,-0.078947368,0.057142857,0.108108108,-0.243902439,0.161290323,-0.055555556,0.088235294,-0.027027027,-0.083333333,0.272727273,-0.071428571,0.025641026,-3.223430471,12.77489988,-9.440953914,1.553764928,-4.586293404,3.020997443,5.971388094,-14.82109457,7.347851709,-2.895437081,4.245881848,-1.398491866,-4.147673777,12.34688152,-4.111842105,1.362685581,15.37660561,11.26721456,13.71252971,-4.109391059,2.445315155,-0.250930575,0.199337441
Arizona,130,160,153,121,129,158,167,154,121,118,145,145,122,151,142,153,190,145,175,168,136,144,173,182,169,136,133,160,160,137,166,157,168,205,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,6408312,6467163,6549634,6624617,6719993,6817565,6931071,30,-7,-32,8,29,9,-13,-33,-3,27,0,-23,29,-9,11,37,25.1611426,30.16354106,28.06254021,21.64112716,22.39806925,26.44424933,26.96984868,24.20530753,18.617169,17.89023221,22.62686336,22.42095955,18.62699504,22.79377057,21.13097439,22.44203026,27.41279089,0.206896552,-0.04,-0.19047619,0.058823529,0.201388889,0.052023121,-0.071428571,-0.195266272,-0.022058824,0.203007519,0,-0.14375,0.211678832,-0.054216867,0.070063694,0.220238095,5.806417524,-1.319654922,-5.869289456,1.430818324,5.035224871,1.506318,-2.099449298,-5.186851614,-0.461582702,4.093527708,0,-3.556428066,4.427728328,-1.358569107,1.613479299,5.338280332,25.10316693,21.15210633,22.48131223,-3.951060597,1.3292059,-0.151363266,0.06000359
Arkansas,38,41,33,41,32,37,31,45,45,37,38,42,47,46,37,43,44,113,116,108,116,107,112,106,120,120,112,113,117,122,121,112,118,119,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,2921995,2939493,2950685,2958663,2966912,2977853,2988248,3,-8,8,-9,5,-6,14,0,-8,1,4,5,-1,-9,6,1,14.18816796,15.23558676,12.20083912,15.06084397,11.65263071,13.32746925,11.01205394,15.832839,15.69166779,12.80520514,13.00481349,14.28817827,15.92850474,15.54756321,12.47087881,14.43993374,14.72434684,0.026548673,-0.068965517,0.074074074,-0.077586207,0.046728972,-0.053571429,0.132075472,0,-0.066666667,0.008928571,0.03539823,0.042735043,-0.008196721,-0.074380165,0.053571429,0.008474576,1.120118523,-2.972797417,2.957779181,-3.306038921,1.820723548,-2.161211229,4.973185649,0,-2.78962983,0.346086625,1.368927736,1.700973603,-0.338904356,-3.04191454,2.014874475,0.334644246,12.6507674,14.32454074,14.62224547,1.673773341,0.297704728,0.122613864,0.019426666
California,670,711,709,704,684,742,719,650,620,567,601,633,653,734,709,742,867,728,769,767,762,742,800,777,708,678,625,659,691,711,792,767,800,925,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664,37332685,37676861,38011074,38335203,38680810,38993940,39250017,41,-2,-5,-20,58,-23,-69,-30,-53,34,32,20,81,-25,33,125,19.70902942,20.61728738,20.32905311,19.97100403,19.23595084,20.72900444,19.98376396,17.9428535,16.94898064,15.34021845,16.09849385,16.80076268,17.17920414,19.14689222,18.32950241,19.02859778,22.08916241,0.056318681,-0.00260078,-0.006518905,-0.026246719,0.078167116,-0.02875,-0.088803089,-0.042372881,-0.078171091,0.0544,0.048558422,0.02894356,0.113924051,-0.031565657,0.043024772,0.15625,1.206074935,-0.057995183,-0.143364267,-0.567358069,1.631118639,-0.642543264,-1.917774288,-0.8281317,-1.448864474,0.919872006,0.857157743,0.530829784,2.130957941,-0.652142106,0.846285346,3.184711996,20.04975528,16.62626182,19.15467179,-3.423493452,2.528409966,-0.162638159,0.143445615
Colorado,80,61,69,56,70,48,59,58,43,47,36,45,76,50,63,59,79,144,125,133,120,134,112,123,122,107,111,100,109,140,114,127,123,143,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748,5048644,5118360,5189867,5267603,5349648,5448819,5540545,-19,8,-13,14,-22,11,-1,-15,4,-11,9,31,-26,13,-4,20,18.4839894,13.76022204,15.3188145,12.31100681,15.21844667,10.29870537,12.4130978,11.97788057,8.712896485,9.353702912,7.130627551,8.791878649,14.64392055,9.491983356,11.77647576,10.82803448,14.25852511,-0.131944444,0.064,-0.097744361,0.116666667,-0.164179104,0.098214286,-0.008130081,-0.12295082,0.037383178,-0.099099099,0.09,0.28440367,-0.185714286,0.114035088,-0.031496063,0.162601626,-4.389947482,1.804619284,-2.886153457,3.077751702,-4.782940382,2.36011998,-0.210391488,-3.097727734,0.810501999,-2.189164511,1.782656888,6.056627514,-5.009762293,2.467915672,-0.734104032,3.609753192,13.11201423,9.193397234,12.19978785,-3.918616995,3.006390617,-0.277679496,0.294935098
Connecticut,48,33,50,35,27,34,38,32,47,26,46,26,43,37,47,45,54,56,41,58,43,35,42,46,40,55,34,54,34,51,45,55,53,62,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288,3579899,3589893,3593795,3596003,3591873,3584730,3576452,-15,17,-15,-8,7,4,-6,15,-21,20,-20,17,-6,10,-2,9,14.06912513,9.625388625,14.4995537,10.0932239,7.770656275,9.777374924,10.9033669,9.17264728,13.41733154,7.389957843,12.84952453,7.242555697,11.96506757,10.28920165,13.08509516,12.55324669,15.09876268,-0.267857143,0.414634146,-0.25862069,-0.186046512,0.2,0.095238095,-0.130434783,0.375,-0.381818182,0.588235294,-0.37037037,0.5,-0.117647059,0.222222222,-0.036363636,0.169811321,-4.396601603,4.958533534,-4.349866111,-2.307022606,2.01461459,1.150279403,-1.721584248,4.299678413,-5.994977921,5.684582956,-5.586749794,4.735517187,-1.669544312,2.780865311,-0.557922075,2.516460447,10.60883514,10.01440338,12.59827475,-0.594431764,2.583871373,-0.051205117,0.234590226
Delaware,22,17,16,19,16,11,26,16,21,15,22,18,26,24,26,35,27,25,20,19,22,19,14,29,19,24,18,25,21,29,27,29,38,30,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122,899816,907924,916993,925395,934948,944076,952065,-5,-1,3,-3,-5,15,-10,5,-6,7,-4,8,-2,2,9,-8,27.97519363,21.3938738,19.89725555,23.31560121,19.35548649,13.09670368,30.47987039,18.49933402,23.96682991,16.94681637,24.449443,19.82544794,28.3535425,25.93487106,27.80903323,37.07328647,28.35940823,-0.2,-0.05,0.157894737,-0.136363636,-0.263157895,1.071428571,-0.344827586,0.263157895,-0.25,0.388888889,-0.16,0.380952381,-0.068965517,0.074074074,0.310344828,-0.210526316,-6.357998553,-1.258463165,3.730735415,-3.681410717,-6.048589529,17.85914138,-11.72302707,5.781041882,-6.847665688,7.908514307,-4.445353272,8.811310198,-2.181041731,2.161239255,9.533130807,-8.402787625,21.22898346,20.73757425,29.5060283,-0.491409214,8.76845405,-0.022106689,0.403377762
District of Columbia,18,11,7,18,9,16,17,19,9,14,13,8,7,9,9,13,8,19,12,8,19,10,17,18,20,10,15,14,9,8,10,10,14,9,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,605183,620477,635327,649165,659005,670377,681170,-7,-4,11,-9,7,1,2,-10,5,-1,-5,-1,2,0,4,-5,31.48262159,19.02975908,12.07760725,31.15388809,15.52270109,27.48909456,29.11068568,32.40059412,15.25232428,23.34667985,21.48110572,12.89330628,11.01794824,13.86396371,13.65695253,19.39207342,11.74449844,-0.368421053,-0.333333333,1.375,-0.473684211,0.7,0.058823529,0.111111111,-0.5,0.5,-0.066666667,-0.357142857,-0.111111111,0.25,0,0.4,-0.357142857,-12.24324173,-6.919912394,18.97909711,-15.57694405,12.07321196,1.71806841,3.42478655,-17.05294428,8.473513492,-1.667619989,-8.261963737,-1.611663285,3.147985211,0,5.96679182,-7.340311523,23.07079533,21.07480205,13.93508726,-1.995993283,-7.139714786,-0.082921784,-0.323432789
Florida,413,489,487,499,493,571,544,530,490,467,486,490,477,499,588,628,652,480,556,554,566,560,638,611,597,557,534,553,557,544,566,655,695,719,16047118,16353869,16680309,16981183,17375259,17783868,18088505,18277888,18423878,18537969,18849098,19096952,19344156,19582022,19888741,20244914,20612439,76,-2,12,-6,78,-27,-14,-40,-23,19,4,-13,22,89,40,24,25.73670861,29.90118118,29.19610182,29.38546743,28.37367777,32.10775069,30.07434832,28.99678562,26.59592079,25.19154067,25.78372716,25.65854488,24.65861007,25.48255742,29.56446564,31.02013671,31.6313853,0.158333333,-0.003597122,0.02166065,-0.010600707,0.139285714,-0.042319749,-0.022913257,-0.067001675,-0.041292639,0.035580524,0.007233273,-0.023339318,0.040441176,0.157243816,0.061068702,0.034532374,4.736052916,-0.12229522,0.719411133,-0.353332274,4.489141716,-1.518229892,-0.773972199,-2.188436651,-1.248379956,1.024923496,0.212211746,-0.680736905,1.137294385,4.544985191,1.975804886,1.164345471,29.82746921,26.44530383,28.47143103,-3.382165381,2.026127204,-0.109712716,0.073824186
