"","ST_CASE","STATE","VEH_NO.x","HIT_RUN","BODY_TYP","GVWR","V_CONFIG","TRAV_SP","DEFORMED","M_HARM","DR_DRINK","DR_ZIP","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","LAST_YR","PEDS","PERSONS","COUNTY","CITY","DAY_WEEK","MONTH","DAY","YEAR","HOUR","MINUTE","HARM_EV","MAN_COLL","REL_ROAD","LGT_COND","WEATHER","DRUNK_DR","FATALS","LATITUDE","LONGITUD","VEH_NO.y","PER_NO","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","DRINKING","DRUGS","HOSPITAL","DOA","LAG_HRS","LAG_MINS","LOCATION","ttd_mins"
"1",100001,10,1,0,31,0,0,35,6,12,0,19802,0,0,0,0,3,2007,0,1,5,0,3,1,2,2007,20,40,30,0,6,2,1,0,1,38.64542222,-75.21009722,0,1,26,1,5,4,0,96,97,1,8,0,7,0,15,13,16
"2",100002,10,1,0,4,0,0,40,6,12,0,19971,0,0,0,0,0,0,1,3,1,0,4,1,3,2007,18,16,8,0,1,2,1,0,1,38.97394167,-75.45253056,0,1,27,2,5,4,0,0,0,0,8,1,0,0,46,3,47
"3",100003,10,4,0,4,0,0,50,4,8,0,19702,0,0,0,0,0,0,0,6,5,0,1,1,9,2011,13,21,12,2,1,1,11,0,1,38.76365556,-75.61220278,0,1,57,1,5,4,0,0,0,1,8,1,0,117,7,12,7028
"4",100003,10,4,0,4,0,0,50,4,8,0,19702,0,0,0,0,0,0,0,6,5,0,1,1,9,2011,13,21,12,2,1,1,11,0,1,38.76365556,-75.61220278,0,1,52,2,5,4,0,0,0,0,1,1,0,0,32,12,33
"5",100003,10,4,0,4,0,0,50,4,8,0,19702,0,0,0,0,0,0,0,6,5,0,1,1,9,2011,13,21,12,2,1,1,11,0,1,38.76365556,-75.61220278,0,1,61,2,5,4,0,96,97,0,1,5,0,7,22,11,443
"6",100003,10,4,0,4,0,0,50,4,8,0,19702,0,0,0,0,0,0,0,6,5,0,1,1,9,2011,13,21,12,2,1,1,11,0,1,38.76365556,-75.61220278,0,1,46,2,5,4,0,0,0,0,8,0,7,0,11,12,12
"7",100004,10,1,0,21,0,0,50,4,8,0,19702,0,0,0,0,0,0,1,2,3,0,1,1,7,2007,11,49,8,0,1,1,1,0,1,39.73487778,-75.57414722,0,1,51,2,5,4,0,96,97,0,8,0,7,0,10,3,11
"8",100004,10,1,0,21,0,0,50,4,8,0,19702,0,0,0,0,0,0,1,2,3,0,1,1,7,2007,11,49,8,0,1,1,1,0,1,39.73487778,-75.57414722,0,1,46,1,5,4,0,0,0,1,0,0,7,0,15,12,16
"9",100004,10,1,0,21,0,0,50,4,8,0,19702,0,0,0,0,0,0,1,2,3,0,1,1,7,2007,11,49,8,0,1,1,1,0,1,39.73487778,-75.57414722,0,1,78,2,5,4,0,0,0,0,8,1,0,0,51,12,52
"10",100005,10,1,0,30,0,0,55,6,12,0,19933,0,0,0,2,1,2011,0,1,5,0,1,1,13,2008,0,48,42,0,5,2,1,1,1,38.7578,-75.1913,0,1,9,1,7,4,0,96,97,8,8,0,7,0,14,2,15
